Site,Year,Month,Samp,Period,A,BG,F,RB,BD,Ram,AS,BS,FS,RBS,PH,WD,AT
MM,2021,May,1,1,1.016,7.294,.,.,.,4,0.899,1.349,.,.,35.6,14.0,22.2406
MM,2021,May,2,1,0.363,3.349,.,.,.,90,0.899,1.349,.,.,35.9,0.0,22.2406
MM,2021,May,3,1,0.131,44.344,.,.,.,4,0.899,1.349,.,.,18.1,0.0,22.2406
MM,2021,May,4,1,12.87,60.03,0.215,.,.,.,0.899,1.349,1.861,.,72.4,12.7,22.2406
MM,2021,June,1,2,3.172,5.049,.,.,.,22,2.682,0.997,.,15.387,35,8,22.7453
MM,2021,June,2,2,5.989,9.643,0.226,.,.,26,2.682,0.997,0.635,.,62,0,22.7453
MM,2021,June,3,2,0.2,0.286,.,.,.,5,2.682,0.997,.,.,22.25,0,22.7453
MM,2021,June,4,2,12.292,10.844,0.225,.,.,49,2.682,0.997,0.635,.,61.5,0,22.7453
MM,2021,June,5,2,0.457,0.821,.,.,.,3,2.682,0.997,.,.,23.75,4,22.7453
MM,2021,June,6,2,0.293,0.338,.,.,.,11,2.837,6.407,.,.,23.5,2.5,22.7453
MM,2021,June,7,2,0.156,0.21,.,.,.,6,2.837,6.407,.,.,25.5,0,22.7453
MM,2021,June,8,2,7.803,39.302,0.226,.,.,11,2.837,6.407,0.635,.,85,5.5,22.7453
MM,2021,June,9,2,15.58,11.162,.,.,.,46,2.837,6.407,.,.,54.5,3,22.7453
MM,2021,June,10,2,19.482,32.287,0.336,.,.,84,2.837,6.407,0.635,.,57,4,22.7453
MM,2021,June,11,2,0.409,0.482,.,.,.,14,2.811,0.384,.,.,22,0,22.7453
MM,2021,June,12,2,0.832,1.115,.,.,.,17,2.811,0.384,.,.,28.5,4,22.7453
MM,2021,June,13,2,0.452,0.431,.,.,.,27,2.811,0.384,.,.,21,0,22.7453
MM,2021,June,14,2,2.767,2.413,.,.,.,25,2.811,0.384,.,.,51,16,22.7453
MM,2021,June,15,2,8.071,6.523,.,.,.,35,2.811,0.384,.,.,55,0,22.7453
MM,2021,June,16,2,0.612,1.072,.,.,.,12,0.218,0.199,.,.,25.25,0,22.7453
MM,2021,June,17,2,3.886,5.645,.,.,.,27,0.218,0.199,.,.,39.5,5.5,22.7453
MM,2021,June,18,2,2.513,3.946,.,.,.,36,0.218,0.199,.,.,42,0,22.7453
MM,2021,June,19,2,1.725,1.403,.,.,.,31,0.218,0.199,.,.,30,0,22.7453
MM,2021,June,20,2,0.739,0.775,.,.,.,27,0.218,0.199,.,.,24.5,0,22.7453
MM,2021,July,1,3,44.171,10.43,0.55,0.303,16,49,0.830,1.785,0.635,29.528,99,0,22.8736
MM,2021,July,2,3,13.772,13.82,0.189,0.181,17,49,0.830,1.785,0.635,29.528,79,0,22.8736
MM,2021,July,3,3,3.613,2.629,.,.,.,21,0.830,1.785,.,.,37.9,0,22.8736
MM,2021,July,4,3,0.781,0.599,.,.,.,17,0.830,1.785,.,.,22.8,0,22.8736
MM,2021,July,5,3,30.154,22.88,0.334,.,.,113,0.830,1.785,0.635,.,67.5,0,22.8736
MM,2021,July,6,3,14.132,14.277,.,.,.,82,0.440,2.735,.,.,67.8,0,22.8736
MM,2021,July,7,3,10.028,16.834,.,0.034,4,97,0.440,2.735,.,29.528,49.5,0,22.8736
MM,2021,July,8,3,24.069,7.563,0.671,0.377,33,110,0.440,2.735,0.635,29.528,74.5,0,22.8736
MM,2021,July,9,3,3.696,5.377,.,.,.,43,0.440,2.735,.,.,40.5,0,22.8736
MM,2021,July,10,3,9.201,8.446,.,0.069,7,49,0.440,2.735,.,29.528,61.2,0,22.8736
MM,2021,July,11,3,255.707,16.164,1.537,.,.,58,0.673,5.007,0.635,.,86.3,0,22.8736
MM,2021,July,12,3,5.331,5.044,.,.,.,47,0.673,5.007,.,.,41.2,0,22.8736
MM,2021,July,13,3,1.425,1.818,.,0.011,4,26,0.673,5.007,.,29.528,41.3,0,22.8736
MM,2021,July,14,3,13.31,10.841,1.769,0.251,13,43,0.673,5.007,0.635,29.528,88.6,0,22.8736
MM,2021,July,15,3,37.533,32.186,0.608,0.861,44,45,0.673,5.007,0.635,29.528,77.8,0,22.8736
MM,2021,July,16,3,3.996,4.072,.,.,.,42,0.195,8.011,.,.,54.7,0,22.8736
MM,2021,July,17,3,2.934,3.998,.,.,.,54,0.195,8.011,.,.,31.9,0,22.8736
MM,2021,July,18,3,1.262,1.461,.,.,.,24,0.195,8.011,.,.,31.6,0,22.8736
MM,2021,July,19,3,8.348,4.199,.,.,.,50,0.195,8.011,.,.,61.6,0,22.8736
MM,2021,July,20,3,30.769,12.211,1.37,0.754,33,67,0.195,8.011,.,.,34.9,5.4,22.8736
MM,2021,August,1,4,8.145,9.98,0.126,1.467,56,31,1.182,2.506,3.406,23.934,66,0,23.0750
MM,2021,August,2,4,12.25,9.123,0.147,0.056,5,33,1.182,2.506,3.406,23.934,95.25,8,23.0750
MM,2021,August,3,4,16.418,16.714,0.843,.,.,65,1.182,2.506,3.406,.,82,0,23.0750
MM,2021,August,4,4,15.122,13.839,0.244,2.257,115,62,1.182,2.506,3.406,23.934,78.5,0,23.0750
MM,2021,August,5,4,23.542,12.192,1.553,1.776,98,46,1.182,2.506,3.406,23.934,84.5,0,23.0750
MM,2021,August,6,4,13.623,12.05,.,6.814,268,36,1.446,2.699,.,23.934,78,0,23.0750
MM,2021,August,7,4,41.479,20.761,2.599,2.35,143,.,1.446,2.699,3.406,23.934,84.5,0,23.0750
MM,2021,August,8,4,18.278,7.985,2.412,1.558,91,.,1.446,2.699,3.406,26.784,79.5,0,23.0750
MM,2021,August,9,4,1.924,5.07,.,.,.,.,1.446,2.699,.,.,37,4,23.0750
MM,2021,August,10,4,29.574,17.378,2.473,0.452,55,.,1.446,2.699,3.406,26.784,71.25,0,23.0750
MM,2021,August,11,4,17.751,8.691,0.621,0.0872,48,.,1.398,2.298,3.133,26.784,77.5,0,23.0750
MM,2021,August,12,4,13.151,10.442,0.389,2.659,135,.,1.398,2.298,3.133,26.784,72.5,0,23.0750
MM,2021,August,13,4,22.465,11.932,3.133,2.255,120,.,1.398,2.298,3.133,26.784,76.25,0,23.0750
MM,2021,August,14,4,30.305,15.648,0.995,3.449,241,.,1.398,2.298,3.133,26.784,72,0,23.0750
MM,2021,August,15,4,5.75,9.039,.,0.05,7,.,1.398,2.298,.,28.506,45.5,0,23.0750
MM,2021,August,16,4,11.6965,11.7332,1.898,2.368,109,.,1.518,1.923,3.133,28.506,71,0,23.0750
MM,2021,August,17,4,18.057,11.571,0.596,4.871,271,.,1.518,1.923,3.133,28.506,73.5,0,23.0750
MM,2021,August,18,4,23.229,22.612,1.535,4.728,233,.,1.518,1.923,3.133,28.506,81.5,0,23.0750
MM,2021,August,19,4,18.292,8.95,0.301,0.45,28,.,1.518,1.923,3.133,28.506,96,0,23.0750
MM,2021,August,20,4,15.031,7.791,0.788,1.513,85,.,1.518,1.923,3.133,28.506,92.25,11,23.0750
MM,2021,September,1,5,0.364,0.283,.,0.033,2,5,0.468,3.695,.,28.884,24,13,22.5412
MM,2021,September,2,5,15.113,10.903,0.455,7.265,255,36,0.468,3.695,5.476,28.884,63,0,22.5412
MM,2021,September,3,5,10.979,9.713,0.417,4.003,147,25,0.468,3.695,5.476,28.884,56.5,0,22.5412
MM,2021,September,4,5,9.254,5.466,0.418,5.882,166,12,0.468,3.695,5.476,28.884,66,0,22.5412
MM,2021,September,5,5,12.097,15.643,.,11.123,611,11,0.468,3.695,.,28.884,52.25,0,22.5412
MM,2021,September,6,5,15.127,15.193,2.156,15.113,460,29,0.389,1.380,5.476,28.249,72.5,0,22.5412
MM,2021,September,7,5,6.513,6.667,.,5.615,215,22,0.389,1.380,.,28.249,71,0,22.5412
MM,2021,September,8,5,11.465,8.132,0.595,4.557,145,34,0.389,1.380,5.476,28.249,68.25,0,22.5412
MM,2021,September,9,5,15.983,9.584,.,6.19,293,17,0.389,1.380,.,28.249,68,0,22.5412
MM,2021,September,10,5,15.606,18.764,.,11.515,495,41,0.389,1.380,.,28.249,60.25,0,22.5412
MM,2021,September,11,5,21.1,10.531,0.382,6.478,300,17,0.000,9.778,5.476,26.377,78,0,22.5412
MM,2021,September,12,5,8.859,10.653,.,8.529,235,15,0.000,9.778,.,26.377,65.5,0,22.5412
MM,2021,September,13,5,9.183,7.886,.,9.174,373,14,0.000,9.778,.,26.377,70.5,0,22.5412
MM,2021,September,14,5,12.235,8.411,1.366,2.278,60,17,0.000,9.778,5.476,26.377,76.25,0,22.5412
MM,2021,September,15,5,15.402,12.262,3.434,10.058,505,9,0.000,9.778,5.476,26.377,78,0,22.5412
MM,2021,September,16,5,18.296,6.37,3.176,3.55,107,18,0.421,8.373,5.476,27.673,72.5,0,22.5412
MM,2021,September,17,5,27.645,13.049,3.178,9.838,284,21,0.421,8.373,5.476,27.673,98.5,0,22.5412
MM,2021,September,18,5,22.782,15.888,0.742,7.366,200,33,0.421,8.373,5.476,27.673,63,6,22.5412
MM,2021,September,19,5,17.544,9.068,2.847,6.518,212,23,0.421,8.373,5.476,27.673,73.25,10.5,22.5412
MM,2021,September,20,5,22.608,13.801,1.635,4.927,180,25,0.421,8.373,5.476,27.673,75.25,5,22.5412
MM,2021,October,1,6,13.638,18.684,.,5.502,172,37,0.590,9.821,.,26.677,58,2.5,21.7983
MM,2021,October,2,6,9.919,20.613,.,6.514,38,32,0.590,9.821,.,26.677,57.5,1.5,21.7983
MM,2021,October,3,6,2.758,5.859,.,1.661,36,14,0.590,9.821,.,26.677,55.5,0,21.7983
MM,2021,October,4,6,19.18,17.221,.,24.771,739,42,0.590,9.821,.,26.677,63,0,21.7983
MM,2021,October,5,6,0.263,0.369,.,0.024,2,6,0.590,9.821,.,26.677,17,0,21.7983
MM,2021,October,6,6,0.08,0.369,.,.,.,3,0.000,11.933,.,28.425,16,0,21.7983
MM,2021,October,7,6,9.23,8.757,.,7.4,240,32,0.000,11.933,.,28.425,66,0,21.7983
MM,2021,October,8,6,12.22,9.93,.,10.92,276,23,0.000,11.933,.,28.425,60.5,0,21.7983
MM,2021,October,9,6,26.244,32.451,.,18.778,510,49,0.000,11.933,.,28.425,70,0.5,21.7983
MM,2021,October,10,6,9.475,6.966,.,2.845,56,20,0.000,11.933,.,28.425,70.25,11,21.7983
MM,2021,October,11,6,19.486,18.02,.,18.952,577,26,0.000,19.798,.,29.282,83.25,1.5,21.7983
MM,2021,October,12,6,16.824,12.424,.,14.988,383,18,0.000,19.798,.,29.282,73.75,0,21.7983
MM,2021,October,13,6,0.671,0.453,.,0.071,8,1,0.000,19.798,.,29.282,50.75,27,21.7983
MM,2021,October,14,6,5.61,6.152,.,4.179,176,16,0.000,19.798,.,29.282,47.5,4,21.7983
MM,2021,October,15,6,2.191,8.375,.,2.029,70,9,0.000,19.798,.,29.282,56.25,8,21.7983
MM,2021,October,16,6,1.744,2.346,.,0.994,55,7,0.025,14.360,.,30.923,40.5,5,21.7983
MM,2021,October,17,6,4.864,5.002,.,4.346,106,7,0.025,14.360,.,30.923,59,4.5,21.7983
MM,2021,October,18,6,6.293,11.091,.,5.127,175,22,0.025,14.360,.,30.923,61,4,21.7983
MM,2021,October,19,6,8.256,10.058,.,3.018,80,26,0.025,14.360,.,30.923,70.5,9,21.7983
MM,2021,October,20,6,7.723,5.288,.,3.618,91,4,0.025,14.360,.,30.923,75.5,22,21.7983
MM,2021,November,1,7,1.975,15.453,.,2.757,90,8,0.266,11.240,.,27.847,85,34,22.5249
MM,2021,November,2,7,0.33,0.483,.,0.124,3,1,0.266,11.240,.,27.847,19,0,22.5249
MM,2021,November,3,7,8.661,7.152,.,4.782,131,14,0.266,11.240,.,27.847,64.5,0,22.5249
MM,2021,November,4,7,8.476,9.64,.,10.095,223,26,0.266,11.240,.,27.847,58.75,0,22.5249
MM,2021,November,5,7,3.706,3.787,.,0.066,4,8,0.266,11.240,.,27.847,57,14.5,22.5249
MM,2021,November,6,7,6.012,10.064,.,10.913,328,20,0.000,16.800,.,27.729,62.5,21,22.5249
MM,2021,November,7,7,5.393,11.508,0.995,3.083,39,8,0.000,16.800,19.915,27.729,66.5,14,22.5249
MM,2021,November,8,7,8.249,13.931,.,3.008,60,26,0.000,16.800,.,27.729,82.5,36,22.5249
MM,2021,November,9,7,6.683,8.602,.,5.255,141,17,0.000,16.800,.,27.729,51.5,0,22.5249
MM,2021,November,10,7,10.366,8.396,.,6.255,124,19,0.000,16.800,.,27.729,76.5,25,22.5249
MM,2021,November,11,7,9.153,4.333,.,2.01,50,7,0.327,19.860,.,30.293,69,25,22.5249
MM,2021,November,12,7,10.361,8.39,.,8.977,204,13,0.327,19.860,.,30.293,59.5,15,22.5249
MM,2021,November,13,7,8.535,3.986,.,0.773,15,6,0.327,19.860,.,30.293,61,13,22.5249
MM,2021,November,14,7,8.764,8.611,.,7.054,172,15,0.327,19.860,.,30.293,68.5,11,22.5249
MM,2021,November,15,7,4.985,6.502,.,5.041,96,9,0.327,19.860,.,30.293,82,25,22.5249
MM,2021,November,16,7,3.041,25.451,.,4.385,117,11,0.377,18.460,.,27.151,54,22,22.5249
MM,2021,November,17,7,8.779,19.306,.,30.603,1063,29,0.377,18.460,.,27.151,72.5,13,22.5249
MM,2021,November,18,7,6.633,15.521,.,13.709,232,22,0.377,18.460,.,27.151,63.5,10,22.5249
MM,2021,November,19,7,5.771,16.425,.,10.726,239,14,0.377,18.460,.,27.151,72.5,12,22.5249
MM,2021,November,20,7,2.382,8.851,.,7.924,246,22,0.377,18.460,.,27.151,61.25,0,22.5249
MM,2022,May,1,8,0.032,0.205,.,.,.,2,1.187,11.826,.,.,9.4,2,18.75364926
MM,2022,May,2,8,0.23,0.919,.,.,.,9,1.187,11.826,.,.,14.5,0,18.75364926
MM,2022,May,3,8,1.433,7.917,.,0.138,9,4,1.187,11.826,.,23.509,28.4,0,18.75364926
MM,2022,May,4,8,1.673,4.023,.,0.187,8,10,1.187,11.826,.,23.509,34.7,1.8,18.75364926
MM,2022,May,5,8,0.029,0.116,.,.,.,4,1.187,11.826,.,.,1.2,10.1,18.75364926
MM,2022,May,6,8,0.584,1.405,.,0.086,6,14,1.071,9.941,.,23.509,25.4,0,18.75364926
MM,2022,May,7,8,14.625,34.825,0.037,0.956,39,51,1.071,9.941,.,23.509,60,3,18.75364926
MM,2022,May,8,8,3.526,8.575,.,.,.,15,1.071,9.941,.,.,48.9,3,18.75364926
MM,2022,May,9,8,0.146,0.74,.,.,.,3,1.071,9.941,.,.,5.2,1.8,18.75364926
MM,2022,May,10,8,6.238,7.077,.,0.745,23,15,1.071,9.941,.,23.509,44.5,5.2,18.75364926
MM,2022,May,11,8,0.16,0.267,.,.,.,2,0.855,9.191,.,.,23.6,12,18.75364926
MM,2022,May,12,8,0.137,0.205,.,0.021,2,11,0.855,9.191,.,23.509,13.2,2.8,18.75364926
MM,2022,May,13,8,2.57,11.661,.,7.681,239,24,0.855,9.191,.,23.509,32,5.4,18.75364926
MM,2022,May,14,8,6.429,4.342,.,0.084,9,18,0.855,9.191,.,20.955,45.2,5.7,18.75364926
MM,2022,May,15,8,1.288,2.272,.,.,.,12,0.855,9.191,.,.,43.9,3,18.75364926
MM,2022,May,16,8,3.4,8.399,.,5.346,250,26,0.950,7.780,.,20.955,31.5,0,18.75364926
MM,2022,May,17,8,0.462,2.633,.,0.633,39,3,0.950,7.780,.,20.955,11.2,0,18.75364926
MM,2022,May,18,8,1.436,6.087,.,0.97,44,8,0.950,7.780,.,20.955,32,0,18.75364926
MM,2022,May,19,8,1.942,7.782,.,1.274,70,6,0.950,7.780,.,20.955,41.8,0,18.75364926
MM,2022,May,20,8,6.035,16.073,.,8.223,335,16,0.950,7.780,.,20.955,18.5,1.5,18.75364926
MM,2022,June,1,9,5.288,7.236,.,0.126,18,48,0.279,8.215,.,26.046,52.25,7.5,23.61682611
MM,2022,June,2,9,1.114,1.68,.,.,.,45,0.279,8.215,.,.,27,1.5,23.61682611
MM,2022,June,3,9,0.046,0.15,.,.,.,17,0.279,8.215,.,.,10.75,0,23.61682611
MM,2022,June,4,9,0.93,1.662,.,0.114,6,38,0.279,8.215,.,26.046,29.5,0,23.61682611
MM,2022,June,5,9,9.732,5.124,0.504,0.014,1,29,0.279,8.215,1.184,26.046,61.5,0,23.61682611
MM,2022,June,6,9,9.822,6.644,0.948,0.578,47,28,0.995,15.560,1.184,26.046,55.75,3,23.61682611
MM,2022,June,7,9,8.168,11.398,0.378,0.36,35,113,0.995,15.560,1.184,26.046,41.5,1,23.61682611
MM,2022,June,8,9,14.62,15.082,.,0.586,27,71,0.995,15.560,.,26.046,51.75,3,23.61682611
MM,2022,June,9,9,0.388,0.476,.,0.008,1,17,0.995,15.560,.,26.046,18.5,4.5,23.61682611
MM,2022,June,10,9,0.498,0.454,.,.,.,10,0.995,15.560,.,.,34.25,13,23.61682611
MM,2022,June,11,9,8.886,13.628,0.244,0.204,12,59,0.720,1.498,1.184,27.553,52,0,23.61682611
MM,2022,June,12,9,0.058,0.06,.,.,.,6,0.720,1.498,.,.,11,0,23.61682611
MM,2022,June,13,9,6.268,6.416,0.1,0.046,6,24,0.720,1.498,1.184,27.553,59.5,0,23.61682611
MM,2022,June,14,9,3.568,11.278,.,0.02,3,32,0.720,1.498,.,27.553,57.5,0,23.61682611
MM,2022,June,15,9,1.598,2.802,.,.,.,24,0.720,1.498,.,.,41,0,23.61682611
MM,2022,June,16,9,0.772,0.904,.,.,.,29,0.758,13.482,.,.,23.25,3,23.61682611
MM,2022,June,17,9,0.674,0.448,.,.,.,16,0.758,13.482,.,.,41.5,20,23.61682611
MM,2022,June,18,9,16.154,19.046,0.262,1.014,39,96,0.758,13.482,1.184,27.553,57.5,0,23.61682611
MM,2022,June,19,9,12.392,16.326,1.02,5.352,224,55,0.758,13.482,1.184,27.553,74.5,2,23.61682611
MM,2022,June,20,9,21.178,12.808,1.722,0.578,38,170,0.758,13.482,1.184,27.553,64,0,23.61682611
MM,2022,July,1,10,17.136,16.872,0.304,0.764,102,64,0.046,1.453,0.826,5.441,64,0,25.23306421
MM,2022,July,2,10,3.986,6.366,.,0.076,18,52,0.046,1.453,.,5.441,39.5,0,25.23306421
MM,2022,July,3,10,0.456,0.786,.,.,.,25,0.046,1.453,.,.,23,0,25.23306421
MM,2022,July,4,10,2.554,2.178,.,.,.,33,0.046,1.453,.,.,35.25,0,25.23306421
MM,2022,July,5,10,3.15,3.766,.,.,.,21,0.046,1.453,.,.,50.5,0,25.23306421
MM,2022,July,6,10,3.97,5.452,.,0.076,11,56,0.000,6.142,.,5.441,47,0,25.23306421
MM,2022,July,7,10,5.674,8.74,.,0.078,6,51,0.000,6.142,.,5.441,39.5,0,25.23306421
MM,2022,July,8,10,2.578,6.134,.,0.188,19,53,0.000,6.142,.,5.441,43.5,0,25.23306421
MM,2022,July,9,10,3.224,5.084,.,.,.,58,0.000,6.142,.,.,45.5,0,25.23306421
MM,2022,July,10,10,9.486,5.834,.,.,.,57,0.000,6.142,.,.,52,0,25.23306421
MM,2022,July,11,10,19.992,23.896,1.614,.,.,34,0.095,3.352,0.826,.,65.5,0,25.23306421
MM,2022,July,12,10,18.518,20.228,0.576,.,.,57,0.095,3.352,0.826,.,61,0,25.23306421
MM,2022,July,13,10,16.922,17.486,1.646,2.5,220,48,0.095,3.352,0.826,5.441,62.5,0,25.23306421
MM,2022,July,14,10,10.602,10.948,0.056,0.586,69,69,0.095,3.352,2.429,4.321,58,0,25.23306421
MM,2022,July,15,10,5.638,6.342,0.346,0.568,63,44,0.095,3.352,2.429,4.321,50,0,25.23306421
MM,2022,July,16,10,17.516,9.078,2.92,2.546,165,27,0.000,1.028,2.429,4.321,54.5,0,25.23306421
MM,2022,July,17,10,9.54,11.906,.,0.638,65,82,0.000,1.028,.,4.321,51,0,25.23306421
MM,2022,July,18,10,11.136,11.288,.,.,.,47,0.000,1.028,.,.,53,0,25.23306421
MM,2022,July,19,10,36.724,13.33,3.844,3.11,220,48,0.000,1.028,2.429,4.321,69.5,0,25.23306421
MM,2022,July,20,10,6.336,5.57,.,0.054,6,63,0.000,1.028,.,4.321,46.5,0,25.23306421
MM,2022,August,1,11,9.667,6.011,0.12,2.102,202,67,0.124,18.184,2.833,25.214,55.25,0,24.57149578
MM,2022,August,2,11,1.137,0.558,.,0.02,12,36,0.124,18.184,.,25.214,39.5,0,24.57149578
MM,2022,August,3,11,7.17,7.381,.,0.081,23,107,0.124,18.184,.,25.214,52,0,24.57149578
MM,2022,August,4,11,31.792,31.684,0.632,5.256,336,141,0.124,18.184,2.833,25.214,45.5,0,24.57149578
MM,2022,August,5,11,1.763,1.817,.,0.02,10,9,0.124,18.184,.,25.214,33.5,0,24.57149578
MM,2022,August,6,11,0.815,2.123,.,0.014,7,26,0.000,0.996,.,18.522,27.5,0,24.57149578
MM,2022,August,7,11,0.845,0.63,.,.,.,34,0.000,0.996,.,18.522,28.5,0,24.57149578
MM,2022,August,8,11,8.224,10.591,0.166,1.667,158,75,0.000,0.996,2.833,18.522,53.5,0,24.57149578
MM,2022,August,9,11,16.517,12.763,0.615,3.125,228,67,0.000,0.996,2.833,18.522,65.25,0,24.57149578
MM,2022,August,10,11,14.766,10.417,0.05,1.216,157,112,0.000,0.996,2.833,18.522,56,0,24.57149578
MM,2022,August,11,11,18.509,15.316,0.675,6.843,399,85,0.096,11.667,2.833,28.354,61,0,24.57149578
MM,2022,August,12,11,9.19,7.343,0.17,3.289,312,77,0.096,11.667,6.523,28.354,52.5,0,24.57149578
MM,2022,August,13,11,30.611,11.981,3.305,3.049,185,88,0.096,11.667,6.523,28.354,74.5,0,24.57149578
MM,2022,August,14,11,12.032,7.024,0.356,3.627,316,82,0.096,11.667,6.523,28.354,65,0,24.57149578
MM,2022,August,15,11,8.126,4.782,.,0.535,43,34,0.096,11.667,.,28.354,61,0,24.57149578
MM,2022,August,16,11,11.852,6.421,1.256,1.686,155,59,0.215,11.969,6.523,28.545,56.5,0,24.57149578
MM,2022,August,17,11,5.341,4.521,0.06,1.805,140,43,0.215,11.969,6.523,28.545,53,0,24.57149578
MM,2022,August,18,11,9.14,5.606,.,1.565,185,62,0.215,11.969,.,28.545,58,0,24.57149578
MM,2022,August,19,11,10.171,7.545,1.046,1.919,150,30,0.215,11.969,6.523,28.545,55.5,0,24.57149578
MM,2022,August,20,11,14.259,8.069,0.073,1.842,190,103,0.215,11.969,6.523,28.545,55.5,0,24.57149578
MM,2022,September,1,12,8.968,4.915,1.806,4.396,150,30,0.513,15.136,3.442,21.831,67.5,0,19.10954423
MM,2022,September,2,12,3.746,4.608,.,3.973,254,43,0.513,15.136,.,21.831,55,0,19.10954423
MM,2022,September,3,12,1.746,2.425,.,0.648,50,42,0.513,15.136,.,21.831,33,0,19.10954423
MM,2022,September,4,12,22.124,19.52,0.378,14.078,582,115,0.513,15.136,3.442,21.831,69,0,19.10954423
MM,2022,September,5,12,6.209,11.226,0.633,7.557,248,31,0.513,15.136,3.442,21.831,53,0,19.10954423
MM,2022,September,6,12,8.358,8.611,.,6.76,248,39,0.174,14.593,.,28.250,69.5,0,19.10954423
MM,2022,September,7,12,3.402,6.35,.,6.247,215,19,0.174,14.593,.,28.250,59,0,19.10954423
MM,2022,September,8,12,6.513,8.331,1.054,6.516,243,15,0.174,14.593,3.442,28.250,69,0,19.10954423
MM,2022,September,9,12,10.05,11.065,1.618,6.654,175,34,0.174,14.593,3.442,28.250,70,0,19.10954423
MM,2022,September,10,12,9.764,9.828,.,6.592,190,26,0.174,14.593,.,28.250,84.5,0,19.10954423
MM,2022,September,11,12,21.054,9.324,0.617,7.287,241,70,0.274,15.393,2.306,24.479,65,0,19.10954423
MM,2022,September,12,12,19.69,11.054,1.09,7.923,252,47,0.274,15.393,2.306,24.479,71,0,19.10954423
MM,2022,September,13,12,7.077,11.012,.,4.462,160,42,0.274,15.393,.,24.479,48,0,19.10954423
MM,2022,September,14,12,6.974,9.265,0.341,6.298,280,37,0.274,15.393,2.306,24.479,58.5,0,19.10954423
MM,2022,September,15,12,0.701,1.815,.,1.029,41,10,0.274,15.393,.,24.479,49.5,0,19.10954423
MM,2022,September,16,12,17.422,14.975,0.957,7.024,249,45,0.122,13.646,2.306,27.142,73.5,3,19.10954423
MM,2022,September,17,12,6.59,6.391,.,3.181,144,56,0.122,13.646,.,27.142,51,0,19.10954423
MM,2022,September,18,12,9.801,5.575,1.285,4.232,143,16,0.122,13.646,2.306,27.142,80,0,19.10954423
MM,2022,September,19,12,1.066,3.299,.,1.401,70,17,0.122,13.646,.,27.142,43,0,19.10954423
MM,2022,September,20,12,3.574,5.454,.,5.696,247,31,0.122,13.646,.,27.142,54.5,0,19.10954423
MM,2022,October,1,13,2.608,5.769,.,3.132,95,19,0.000,26.317,.,25.159,53.34,0,10.9711782
MM,2022,October,2,13,0.63,2.45,.,0.664,27,6,0.000,26.317,.,25.159,44.45,0,10.9711782
MM,2022,October,3,13,6.548,15.305,.,11.115,230,24,0.000,26.317,.,25.159,54.6,0,10.9711782
MM,2022,October,4,13,6.687,15.516,.,10.882,283,68,0.000,26.317,.,25.159,63.34,0,10.9711782
MM,2022,October,5,13,0.904,3.823,.,1.437,23,17,0.000,26.317,.,25.159,48.3,0,10.9711782
MM,2022,October,6,13,5.035,23.311,.,9.716,306,16,0.000,28.188,.,29.254,56.5,0,10.9711782
MM,2022,October,7,13,6.524,10.778,.,8.411,203,41,0.000,28.188,.,29.254,59.7,0,10.9711782
MM,2022,October,8,13,3.299,8.044,.,4.038,104,48,0.000,28.188,.,29.254,45.7,0,10.9711782
MM,2022,October,9,13,5.166,10.525,.,8.078,147,41,0.000,28.188,.,29.254,47,0,10.9711782
MM,2022,October,10,13,2.387,7.4,.,3.901,121,17,0.000,28.188,.,29.254,61.6,0,10.9711782
MM,2022,October,11,13,3.109,8,.,6.404,169,16,0.885,30.932,.,31.071,66,0,10.9711782
MM,2022,October,12,13,4.68,9.533,.,5.972,20,24,0.885,30.932,.,31.071,66.7,0,10.9711782
MM,2022,October,13,13,3.276,6.826,.,5.644,246,17,0.885,30.932,.,31.071,63.5,0,10.9711782
MM,2022,October,14,13,3.192,7.946,.,11.577,314,16,0.885,30.932,.,31.071,67.3,0,10.9711782
MM,2022,October,15,13,6.21,9.445,0.995,17.251,495,26,0.885,30.932,.,31.071,63.5,0,10.9711782
MM,2022,October,16,13,1.788,8.085,.,3.755,114,12,0.316,7.938,.,27.880,63.5,0,10.9711782
MM,2022,October,17,13,1.258,4.646,.,3.857,142,7,0.316,7.938,.,27.880,61,0,10.9711782
MM,2022,October,18,13,1.29,3.398,.,0.433,12,11,0.316,7.938,.,27.880,59.7,0,10.9711782
MM,2022,October,19,13,20.24,22.584,.,27.577,544,35,0.316,7.938,.,27.880,69.2,0,10.9711782
MM,2022,October,20,13,2.433,12.217,.,11.504,338,30,0.316,7.938,.,27.880,49.5,0,10.9711782
TON,2021,May,1,1,6.68,59.26,.,.,.,7,1.596,3.569,.,.,74,18,20.6372
TON,2021,May,2,1,4.89,60.54,.,.,.,24,1.596,3.569,.,.,90,52,20.6372
TON,2021,May,3,1,4.226,49.2,.,.,.,9,1.596,3.569,.,.,81,37,20.6372
TON,2021,May,4,1,14.401,20.805,.,.,.,28,1.596,3.569,.,.,85,58,20.6372
TON,2021,May,5,1,3.967,8.774,.,.,.,.,1.596,3.569,.,.,69,33,20.6372
TON,2021,May,6,1,3.59,9.02,.,.,.,16,0.623,3.569,.,.,69,27,20.6372
TON,2021,May,7,1,6.91,31.09,.,.,.,13,0.623,3.569,.,.,62,33,20.6372
TON,2021,May,8,1,6.04,56.21,.,.,.,9,0.623,3.569,.,.,69,43,20.6372
